2 1
31.05.2016 01:00:00.00 3600 2.7777777778e-04
250.0 -0.0003661485970951617 -5.568139022216201e-05 0.6
251.0 -0.0003847955958917737 -6.0044112615287304e-05 0.6
252.0 -0.00038652902003377676 -6.143632344901562e-05 0.6
253.0 -0.00036693341098725796 -5.842885002493858e-05 0.6
254.0 -0.00034020491875708103 -5.3859082981944084e-05 0.6
255.0 -0.00027907267212867737 -4.423921927809715e-05 0.6
256.0 -0.00018650502897799015 -3.071618266403675e-05 0.6
257.0 -9.528221562504768e-05 -1.718779094517231e-05 0.6
258.0 -3.283587284386158e-05 -8.203089237213135e-06 0.6
259.0 -7.804948836565018e-06 -5.201203748583794e-06 0.6
260.0 -2.489658072590828e-06 -2.475222572684288e-06 0.6
261.0 -6.647314876317978e-07 -6.777700036764145e-07 0.6
262.0 -5.981419235467911e-07 -5.05475327372551e-07 0.6
263.0 -5.19677996635437e-07 -4.263129085302353e-07 0.6
264.0 -4.361546928066673e-07 -4.921444940464426e-07 0.6
265.0 -5.9550586684054e-07 -6.050116780897952e-07 0.6
266.0 -9.807711194298463e-07 -1.0092594493471552e-06 0.6
267.0 -1.609717401152011e-06 -2.228197899967199e-06 0.6
268.0 -7.206217560451478e-06 -2.368461537116673e-06 0.6
269.0 -2.1678592020180076e-05 -4.690587957156822e-06 0.6
270.0 -6.545690121129155e-05 -8.710863767191768e-06 0.6
271.0 -0.00012836306996177882 -1.7090074834413826e-05 0.6
272.0 -0.00017553591169416904 -2.5801273295655847e-05 0.6
273.0 -0.00020079914247617126 -3.0981667805463076e-05 0.6
274.0 -0.0002550202189013362 -4.0421728044748306e-05 0.6
275.0 -0.0002251385012641549 -4.0929531678557396e-05 0.6
276.0 -0.0001725478796288371 -3.424950409680605e-05 0.6
277.0 -0.00018427451141178608 -3.998936153948307e-05 0.6
278.0 -0.00016267807222902775 -4.708697088062763e-05 0.6
279.0 -0.00011875794734805822 -3.7717982195317745e-05 0.6
280.0 -6.145716179162264e-05 -7.296574767678976e-05 0.6
281.0 -4.010740667581558e-05 -1.28911342471838e-05 0.6
282.0 -1.0499730706214905e-05 -1.362222246825695e-05 0.6
283.0 -1.2888340279459953e-06 -3.99129930883646e-06 0.6
284.0 -4.959292709827423e-08 -6.670597940683365e-07 0.6
285.0 -7.799826562404633e-09 6.301561370491982e-07 0.6
286.0 -7.8580342233181e-08 -6.848713383078575e-07 0.6
287.0 -4.784669727087021e-08 -5.66127710044384e-07 0.6
288.0 -6.501202847175591e-07 -7.202666154171311e-06 0.6
289.0 -6.392577347469341e-07 -7.337314571032039e-06 0.6
290.0 -4.111544740226236e-07 -5.024553388466302e-06 0.6
291.0 -8.481388249492738e-07 -7.539987109339563e-06 0.6
292.0 -3.528515890138806e-06 -1.812838104342518e-05 0.6
293.0 -6.628134542552289e-06 -2.5798763999773655e-05 0.6
294.0 -8.949481525633018e-06 -3.747042956092628e-05 0.6
295.0 -1.0645471775205806e-05 -9.300889723817818e-05 0.6
296.0 -1.3250406482256949e-05 -0.00012959881860297173 0.6
297.0 -3.1441501050721854e-05 -0.00014385529357241467 0.6
298.0 -3.8148406019899994e-05 -0.00011440554953878745 0.6
299.0 -8.614950638730079e-05 -0.0001862291101133451 0.6
300.0 -4.820869071409106e-05 -0.0002188203507103026 0.6
301.0 -2.9202376026660204e-05 -0.00031770841451361775 0.6
302.0 -4.162112600170076e-05 -0.0002807205601129681 0.6
303.0 -6.89394655637443e-05 -0.00018799322424456477 0.6
304.0 -3.291017492301762e-05 -0.00013729927013628185 0.6
305.0 -1.3030949048697948e-05 -6.589817348867655e-05 0.6
306.0 -4.52084350399673e-06 -2.89527524728328e-05 0.6
307.0 -4.023313522338867e-07 -2.0251376554369926e-05 0.6
308.0 -1.9319122657179832e-07 -1.1141702998429537e-05 0.6
309.0 -5.2386894822120667e-08 -4.269648343324661e-06 0.6
310.0 -4.313187673687935e-08 -1.4619843568652868e-05 0.6
311.0 -2.1886080503463745e-08 -9.741401299834251e-06 0.6
312.0 -3.392969460946915e-08 -1.113660428586627e-05 0.6
313.0 -7.654477940377546e-09 -5.68372172438103e-07 0.6
314.0 -4.0943717749541975e-08 -9.36950701202477e-06 0.6
315.0 -3.349316557432758e-08 -1.5186322229965299e-05 0.6
316.0 -1.419721229467541e-09 -3.358587036927929e-05 0.6
317.0 -2.0714878701255657e-09 -4.720361391719052e-05 0.6
318.0 -3.2665639082551934e-08 -7.997247644198069e-05 0.6
319.0 -2.347979943806422e-07 -0.00012836037501529063 0.6
320.0 -7.394793556159129e-06 -0.00016792254837127985 0.6
321.0 -3.2555013603996485e-05 -0.0001428276955266483 0.6
322.0 -5.815563054056838e-05 -0.00015534343401668593 0.6
323.0 -0.00010008510435000062 -0.0002016512444242835 0.6
324.0 -0.00017228802607860416 -0.00017993689107242972 0.6
325.0 -0.0001845570222940296 -6.689518340863287e-05 0.6
326.0 -0.00022045098012313247 -7.819390157237649e-05 0.6
327.0 -0.0001238838885910809 -7.93272047303617e-05 0.6
328.0 -6.466469494625926e-05 -9.222148219123483e-05 0.6
329.0 -5.6409393437206745e-05 -5.911721382290125e-05 0.6
330.0 -2.9971241019666195e-05 -2.9497663490474224e-05 0.6
331.0 -7.54848588258028e-06 -1.570011954754591e-05 0.6
332.0 -4.230998456478119e-06 -1.3603828847408295e-05 0.6
333.0 -2.6329653337597847e-06 -9.943847544491291e-06 0.6
334.0 -1.317937858402729e-06 -6.276764906942844e-06 0.6
335.0 -1.3955868780612946e-06 -7.3749106377363205e-06 0.6
336.0 -5.39321149517491e-07 -2.2667501298201387e-06 0.6
337.0 -5.7980287238024175e-12 3.155966965096013e-06 0.6
338.0 0.0 7.018075848463923e-06 0.6
339.0 1.0470557754160836e-10 6.253763672248169e-06 0.6
340.0 -5.116301053931238e-06 -5.068954578746343e-06 0.6
341.0 -1.9751858417293988e-05 -2.5726892999955453e-05 0.6
342.0 -7.920015923446044e-05 -0.00010424701758893207 0.6
343.0 -0.00014582890435121953 -0.00010186040890403092 0.6
344.0 -0.00015909611829556525 -7.044058293104172e-05 0.6
345.0 -0.00021052220836281776 -5.1539449486881495e-05 0.6
346.0 -0.00021297018975019455 -4.504126263782382e-05 0.6
347.0 -0.000184179050847888 -3.763951826840639e-05 0.6
348.0 -0.00018272455781698227 -4.278321284800768e-05 0.6
349.0 -9.555288124829531e-05 -5.3228577598929405e-05 0.6
350.0 -1.9776751287281513e-05 -0.00011991674546152353 0.6
351.0 0.0 -0.0001042329240590334 0.6
352.0 0.0 -0.00011991569772362709 0.6
353.0 -4.0943268686532974e-07 -7.665238808840513e-05 0.6
354.0 -1.8032733350992203e-07 -4.484585952013731e-05 0.6
355.0 -1.46450474858284e-07 -2.2217165678739548e-05 0.6
356.0 -6.577465683221817e-08 -2.492161002010107e-05 0.6
357.0 0.0 -2.8298702090978622e-05 0.6
358.0 0.0 -2.3590633645653725e-05 0.6
359.0 -1.862645149230957e-09 -1.2558884918689728e-05 0.6
360.0 -1.1176013003932894e-08 -5.3199172214135615e-06 0.6
361.0 -6.980371836107224e-11 2.372235712755355e-06 0.6
362.0 -3.0256330774136586e-10 8.840221809691684e-06 0.6
363.0 -4.889244564765249e-10 9.181463411778168e-07 0.6
364.0 -4.887681370746577e-10 -1.7071397991230697e-05 0.6
365.0 -5.14223245318135e-07 -5.7445829554580996e-05 0.6
366.0 -7.72256407799432e-06 -0.00014048118373466423 0.6
367.0 -2.4894936359487474e-05 -0.00013614883937407285 0.6
368.0 -1.9496386812534183e-05 -0.0001399316606693901 0.6
369.0 -9.588460670784116e-06 -0.00021419752738438547 0.6
370.0 -8.799874922260642e-05 -0.00034330011112615466 0.6
371.0 -0.00030137941939756274 -0.00010514311725273728 0.6
372.0 -0.0002891628537327051 -7.109623402357101e-05 0.6
373.0 -0.0002804148243740201 -7.175107020884752e-05 0.6
374.0 -0.00024154339917004108 -6.323587149381638e-05 0.6
375.0 -0.00012077018618583679 -5.673267878592014e-05 0.6
376.0 -4.428578540682793e-05 -0.00019870977848768234 0.6
377.0 -5.8176927268505096e-05 -6.109662353992462e-05 0.6
378.0 -3.136938903480768e-05 -2.711417619138956e-05 0.6
379.0 -5.709473043680191e-06 -7.822411134839058e-06 0.6
380.0 -1.3030366972088814e-06 -1.4462275430560112e-06 0.6
381.0 -1.6763806343078613e-08 1.0754447430372238e-06 0.6
382.0 0.0 2.6172492653131485e-06 0.6
383.0 0.0 0.0 0.6
