2 1
02.01.1980 00:00:00.000 1 1.157407408e-05
335 0.0001273629 0.0000545841 0.6
336 0.0001251371 0.0000536302 0.6
337 0.0001432322 0.0000613852 0.6
338 0.0001644123 0.0000704624 0.6
339 0.0000938148 0.0000402064 0.6
340 0.0000883641 0.0000378703 0.6
341 0.0001027877 0.0000440519 0.6
342 0.0001261470 0.0000540630 0.6
343 0.0001635880 0.0000701091 0.6
344 0.0001639627 0.0000702697 0.6
345 0.0001633560 0.0000700097 0.6
346 0.0002151799 0.0000922199 0.6
347 0.0002204719 0.0000944880 0.6
348 0.0001713602 0.0000734401 0.6
349 0.0001439912 0.0000617105 0.6
350 0.0001504951 0.0000644979 0.6
351 0.0001462524 0.0000626796 0.6
352 0.0001519481 0.0000651206 0.6
353 0.0001697600 0.0000727543 0.6
354 0.0001611577 0.0000690676 0.6
355 0.0001963984 0.0000841708 0.6
356 0.0002173292 0.0000931411 0.6
357 0.0002096910 0.0000898676 0.6
358 0.0001729997 0.0000741427 0.6
359 0.0001467607 0.0000628974 0.6
360 0.0001395518 0.0000598079 0.6
361 0.0001365391 0.0000585168 0.6
362 0.0001580954 0.0000677552 0.6
363 0.0001662780 0.0000712620 0.6
364 0.0001737812 0.0000744777 0.6
365 0.0001693540 0.0000725803 0.6
366 0.0002111416 0.0000904893 0.6
367 0.0001851644 0.0000793562 0.6
368 0.0001612208 0.0000690946 0.6
369 0.0001478132 0.0000633485 0.6
370 0.0001217762 0.0000521898 0.6
371 0.0000910046 0.0000390020 0.6
372 0.0001129915 0.0000484249 0.6
373 0.0001638244 0.0000702104 0.6
374 0.0001637334 0.0000701714 0.6
375 0.0001388050 0.0000594879 0.6
376 0.0001541877 0.0000660804 0.6
377 0.0001420569 0.0000608815 0.6
378 0.0001798265 0.0000770685 0.6
379 0.0001578374 0.0000676446 0.6
380 0.0002012470 0.0000862487 0.6
381 0.0001879413 0.0000805463 0.6
382 0.0001949741 0.0000835603 0.6
383 0.0001822702 0.0000781158 0.6
384 0.0001538206 0.0000659231 0.6
385 0.0001165484 0.0000499493 0.6
386 0.0001032680 0.0000442577 0.6
387 0.0001112814 0.0000476920 0.6
388 0.0001879842 0.0000805647 0.6
389 0.0002098482 0.0000899350 0.6
390 0.0001746370 0.0000748444 0.6
391 0.0001727148 0.0000740206 0.6
392 0.0001421001 0.0000609000 0.6
393 0.0001532253 0.0000656680 0.6
394 0.0001910945 0.0000818976 0.6
395 0.0002369093 0.0001015325 0.6
396 0.0002432884 0.0001042665 0.6
397 0.0002775592 0.0001189539 0.6
398 0.0003027032 0.0001297299 0.6
399 0.0002731386 0.0001170594 0.6
400 0.0003107559 0.0001331811 0.6
401 0.0003819368 0.0001636872 0.6
402 0.0003910425 0.0001675897 0.6
403 0.0003615458 0.0001549482 0.6
404 0.0003620202 0.0001551515 0.6
405 0.0003091428 0.0001324898 0.6
406 0.0002680222 0.0001148666 0.6
407 0.0002679898 0.0001148528 0.6
408 0.0002858402 0.0001225029 0.6
409 0.0003000140 0.0001285774 0.6
410 0.0003132134 0.0001342343 0.6
411 0.0003440324 0.0001474424 0.6
